"model","R2","MAE","RMSE","k","q"
"FFRK_rpart",0.389964627531842,0.671286008099423,0.891514820914609,50,15
"FFRK_svmRadial",0.48128876592406,0.611034901065166,0.822079626774231,50,15
"FFRK_lm",0.481271124510674,0.608010291908924,0.822093606154542,50,16
"FFRK_rf",0.509934546574752,0.578171763013616,0.799057629813078,50,16
"FFRK_rpart",0.364137729918577,0.688390175851449,0.910191104124812,50,16
"FFRK_svmRadial",0.494827574534173,0.589108017462077,0.81128020019822,50,16
"FFRK_lm",0.500776966596007,0.585968556441841,0.808642139568008,50,17
"FFRK_rf",0.495715419414625,0.574666880086764,0.812731151696039,50,17
"FFRK_rpart",0.389602875205421,0.671125921315837,0.894160130985283,50,17
"FFRK_svmRadial",0.496334956478549,0.581211422694998,0.812231759255265,50,17
"FFRK_lm",0.507716355784887,0.598292412431275,0.80300225589089,50,18
"FFRK_rf",0.515753756795179,0.581552553797984,0.796420062941876,50,18
"FFRK_rpart",0.381799063040335,0.688706637976486,0.899857812228235,50,18
"FFRK_svmRadial",0.504534534474929,0.594722222385474,0.805593134647425,50,18
"FFRK_lm",0.503159670249226,0.590512066662337,0.806710078175663,50,19
"FFRK_rf",0.527939149422855,0.570894997050208,0.786335810306483,50,19
"FFRK_rpart",0.36501715370566,0.684906423755238,0.911989962677744,50,19
"FFRK_svmRadial",0.475138772700365,0.603331649037213,0.829146568534621,50,19
"FFRK_lm",0.506970715765438,0.604989874061726,0.803610161588226,50,20
"FFRK_rf",0.516011784454308,0.578662913153095,0.796207850881022,50,20
"FFRK_rpart",0.361110738188412,0.690152546056142,0.914790943250691,50,20
"FFRK_svmRadial",0.479980689037993,0.615175273599871,0.8253132122063,50,20
"FFRK_lm",0.455870446741636,0.634075473495817,0.844228907893508,50,21
"FFRK_rf",0.498064868204729,0.585330632213293,0.810835694712311,50,21
"FFRK_rpart",0.35987350783619,0.697614321375697,0.915676276416317,50,21
"FFRK_svmRadial",0.46128979255289,0.616902375340573,0.840014270741008,50,21
