"model","R2","MAE","RMSE","k","q"
"FFRK_rpart",0.405675341627906,0.458075454382764,0.576742115831165,50,19
"FFRK_svmRadial",0.618520462863544,0.352565954368939,0.462067491620007,50,19
"FFRK_lm",0.504976565531238,0.401346669536125,0.526644125123964,50,20
"FFRK_rf",0.58228656697699,0.364756032409309,0.483775182277955,50,20
"FFRK_rpart",0.410465846309701,0.461128582067129,0.574723359803049,50,20
"FFRK_svmRadial",0.580178485095119,0.368071611928415,0.484994384420445,50,20
"FFRK_lm",0.580396192389848,0.369852165542492,0.485949707264521,50,21
"FFRK_rf",0.595295581367308,0.361154524814268,0.477244121543334,50,21
"FFRK_rpart",0.482624200047795,0.422238806683608,0.539603390807285,50,21
"FFRK_svmRadial",0.603794050844014,0.358096439000674,0.472206662936964,50,21
